年份,首播日期,頻道,集數,劇名,主演
2024年,8月8日,大愛電視台,23, 你好，我是誰2 ,寇世勳 、 崔佩儀 、 柯素雲 、 胡利 、 何豪傑 、 傅小芸 、 林玟誼 、 田家達 、 寇家瑞 、 朱芷瑩 、 謝瓊煖 、 洪小鈴 、 尹昭德 、 江祖平 、 李運慶 、 班鐵翔 、 劉曉憶 、 慕鈺華 、 談學斌 、 梁湘華 、 王為 、 葉文豪
2024年,8月11日,華視 公視台語台,8, 無罪推定 ,莊凱勛 、 蔡黃汝 、 楊小黎 、 鍾承翰 、 黃鐙輝 、 呂雪鳳 、 楊烈 、 鄭平君 、 李運慶 、 王嫚萱 、 焦曼婷 、 胡恩寧 、 洪毓璟 、 李飛 、 方大緯 、 林鴻翔 、 黃建豪
2024年,8月12日,GagaOOLala friDay影音,12, 彈一場完美戀愛 ,涂善存 、 張豐豪 、 劉泯庭 、 Jame Kasama 、 Kranjanawattana 、 李英宏 、 李佳歡 、 金泰佑 、 劉紀範 、 陳少卉
2024年,8月16日,三立都會台 LINE TV MyVideo YouTube,8, Q18量子預言 ,李銘順 、 天心 、 吳庚霖 、 石知田 、 金士傑 、 李璇 、 李千娜 、 趙逸嵐 、 劉修甫 、 盧以恩
2024年,8月17日,公視,5, 聽海湧 ,吳翰林 、 黃冠智 、 朱宥丞 、 連俞涵 、 施名帥 、 周厚安 、 Runa 、 岡本孝 、 塚原大助 、 松大航也 、 松野高志 、 馬場克樹 、 辻伊吹 、 葛西健二
2024年,8月22日,Netflix,6, 正港分局 ,許光漢 、 王淨 、 馬念先 、 陳彥佐
2024年,8月22日,Netflix GagaOOLala,12, 某某 ,曾向鎮 、 劉冬沁 、 古斌 、 顏毓麟 、 陸婷玉 、 段鈞豪 、 洪小鈴 、 姚愛寗 、 陳彥廷 、 陳為民 、 李至正 、 蔡振廷 、 鍾岳軒 、 邵奕玫 、 鄭湋曄 、 黃丞邦
2024年,8月30日,CATCHPLAY+ 愛奇藝,8, 讓我看見你是誰 ,雷嘉汭 、 詹懷雲 、 黃信赫 、 鄭宇恩 、 金東昱 、 屈中恆 、 阮氏翠恆 、 劉晉瑋 、 陳語杉 、 初孟軒 、 黑嘉嘉 、 陸明君 、 阿Ken 、 宏都拉斯 、 莫愛芳 、 黃尚禾
2024年,9月1日,八大戲劇台 MyVideo,12, 今夜一起為愛鼓掌 ,楊謹華 、 陳嘉樺 、 楊祐寧 、 王柏傑
2024年,9月2日,KKTV,18, K-DOL愛心增加學院 ,Gorn Wannapairote 、 許紫柔  、 汪東城 、 梁瀚名 、 粼粼 、 蔡佳彤 、 于常祐 、 夏菈 、 劉浩文 、 柯棨棋 、 洪仕晟
2024年,9月7日,八大戲劇台 Hami Video,20, 妳是我的姐妹 ,温貞菱 、 李霈瑜 、 張軒睿 、 徐鈞浩 、 林哲熹 、 林思宇 、 林美秀 、 陳竹昇
2024年,9月7日 9月8日,公視 八大戲劇台,9, 人生清理員 ,金士傑 、 鳳小岳 、 宋芸樺 、 蔡嘉茵 、 黃冠智 、 陸弈靜 、 許莉廷 、 鄭有傑 、 陳婉婷 、 夏騰宏 、 葉子綺
2024年,9月29日,華視 公視台語台,8, 孔雀魚 ,尹馨 、 安心亞 、 藍葦華 、 莊凱勛 、 張再興 、 蔡明修 、 亮哲 、 美麗本人 、 黃漢青
2024年,10月3日,大愛電視台,20, 在光裏的人,王傳一 、 翁家明 、 陳明珠 、 唐從聖 、 廖曉彤 、 張晏塵 、 邱子芯 、 錦雯 、 鍾政均 、 游小白 、 蔡天嘉
2024年,10月6日,東森戲劇台 MyVideo,22, X！又是星期一 ,林奕嵐 、 范少勳 、 曾莞婷 、 馬力歐 、 溫昇豪 、 趙自強 、 李李仁 、 謝毅宏 、 洪群鈞 、 詹子晴
2024年,10月23日,KKTV,13, 看見愛 ,金雲 、 林宇 、 林家佑 、 林詠傑 、 李悠 、 艾雨帆
2024年,11月2日,愛奇藝 八大戲劇台,10, 太太太厲害,曾沛慈 、 隋棠 、 周采詩 、 黃奇斌 、 楊祐寧 、 王陽明 、 林品彤 、 江格宇 、 唐宸禹 、 楊鈞訸 、 鄭楠鐘 、 禾浩辰 、 胡宇威 、 張永正 、 蕭東意 、 夏朧
2024年,11月4日,東森超視 華視,60, 阿榮與阿玉 ,柯叔元 、 韓瑜 、 林玟誼 、 張睿家 、 黃西田 、 王淑娟 、 伊正 、 鄭仲茵 、 小亮哥 、 民雄 、 謝其文 、 李亮瑾 、 吳心緹 、 張再興 、 劉紀範 、 黃新皓 、 柏妍樺 、 張絡扉
2024年,11月7日,Hami Video MyVideo friDay影音,10, 妮波自由式 ,莊凱勛 、 林思宇 、 陸夏 、 張書豪
2024年,11月7日,Netflix,12, 影后,楊謹華 、 謝盈萱 、 薛仕凌 、 陳庭妮 、 謝瓊煖 、 楊貴媚 、 鍾欣凌 、 曾莞婷 、 林廷憶 、 黃迪揚 、 詹懷雲 、 劉冠廷 、 黃仲崑 、 樓一安 、 陳家逵 、 牧森 、 陳彥嘉
2024年,11月17日,東森戲劇台 LINE TV,13, 不愛，愛 ,張軒睿 、 韓寧 、 陳語安 、 初孟軒 、 曾向鎮 、 伊正 、 倪安東 、 陳孝萱 、 包小松
2024年,12月8日,TVBS歡樂台 LINE TV,24, 秘書俱樂部,賴雅妍 、 王傳一 、 修杰楷 、 曾莞婷 、 張軒睿 、 黃尚禾 、 楊晴 、 管麟 、 樊光耀 、 林嘉俐 、 許時豪 、 鄭芯恩 、 葉子綺 、 林牧昕 、 孔令元 、 王上菲 、 鄭豐毅 、 曾子余 、 張哲偉
2024年,12月14日,AXN Hami Video,18, 不如海邊吹吹風,陳柏霖 、 郭雪芙 、 林柏叡 、 范文芳 、 洪慧芳 、 庹宗華 、 鄭家榆 、 馬念先 、 李之勤 、 蔡思韻 、 吳子霏 、 楊子儀 、 莊茜佳 、 王晴 、 元康 、 林映彤 、 簡劭峰
2024年,12月22日,三立都會台,12, 全面管控 ,張哲偉 、 陳峻廷 、 洪言翔 、 羅章恩
2024年,12月23日,大愛電視台,12, 血·拾人生 ,宋偉恩 、 魏蔓 、 黃薇渟 、 張睿家 、 林思廷 、 庹宗華 、 陳婉婷 、 王滿嬌 、 安俊朋 、 何思靜 、 張菁菁 、 黃冠智 、 李國強 、 邱凱偉 、 李維維
